isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,text,polarity,subjectivity,len
9780375711169,0375711163,De Kooning,An American Master,Mark Stevens;Annalyn Swan,Biography & Autobiography,http://books.google.com/books/content?id=4D2FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Traces the career of abstract expressionist Willem de Kooning, discussing his personal life with wife Elaine Fried, and his battle with alcoholism and Alzheimer's disease. Winner of the Pulitzer Prize, National Book Critics Circle Award, & Los Angeles Times Book Prize for Biography. Reprint. 35,000 first printing.",2006.0,4.11,732.0,2664.0,kooning trace career abstract expressionist willem kooning discuss personal life wife elaine fry battle alcoholism alzheimers disease winner pulitzer prize national critics circle award los angeles prize biography reprint first print,0.125,0.31666666666666665,233
9780375713934,037571393X,John James Audubon,The Making of an American,Richard Rhodes,Art,http://books.google.com/books/content?id=4j2FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A biography of artist John James Audubon offers a study of his private life, detailing his arrival in America from France in 1803, his life in frontier Kentucky, and his extraordinary images of native American wildlife.",2006.0,4.14,528.0,437.0,john jam audubon biography artist john jam audubon offer study private life detail arrival america france life frontier kentucky extraordinary image native american wildlife,0.1111111111111111,0.4583333333333333,173
9780375714337,0375714332,Mediterranean Winter,"The Pleasures of History and Landscape in Tunisia, Sicily, Dalmatia, and the Peloponnese",Robert D. Kaplan,Travel,http://books.google.com/books/content?id=MoQwPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Describes an intimate off-season journey along the Mediterranean that covers the area's history, literature, and heritage, describing the mythologies and succeeding medieval civilizations of ancient Greece and Rome while revealing what the past says about today's world. Reprint. 17,500 first printing.",2005.0,3.91,272.0,193.0,mediterranean winter describe intimate season journey along mediterranean cover areas history literature heritage describe mythologies succeed medieval civilizations ancient greece rome reveal past todays world reprint first print,0.05,0.29583333333333334,230
9780375714498,0375714499,Manufacturing Consent,The Political Economy of the Mass Media,Edward S. Herman;Noam Chomsky,Political Science,http://books.google.com/books/content?id=Z-uLd2Y6iFgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Examines the political role played by the media in shaping events, assesses the relationship between the media and the corporations that control and finance them, and discusses the fine distinctions between news and propaganda.",2002.0,4.24,412.0,12038.0,manufacture consent examine political role play media shape events assess relationship media corporations control finance discuss fine distinctions propaganda,0.10555555555555556,0.2333333333333333,158
9780375714627,0375714626,Mythology,The DC Comics Art of Alex Ross,Alex Ross,Art,http://books.google.com/books/content?id=h6fzEpSYR-kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Celebrates the talents of DC Comics artist Alex Ross in a collection of his drawings, never-before-seen sketches, limited edition prints, and other artwork, all reproduced in full color, accompanied by a study of Ross's creative process, a new Superman-Batman story, and a new Robin origin story. Reprint. 50,000 first printing.",2005.0,4.32,320.0,1960.0,mythology celebrate talents comics artist alex ross collection draw never see sketch limit edition print artwork reproduce full color accompany study rosss creative process superman batman story robin origin story reprint first print,0.3666666666666667,0.6277777777777778,233
9780375714634,0375714634,Peanuts,The Art of Charles M. Schulz,Charles M. Schulz,Art,http://books.google.com/books/content?id=pTHFwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Offers reproductions of more than five hundred comic strips, pieces from sketchbooks, early prototype drawings for ""Peanuts,"" and selections from Schulz's first cartoon feature, accompanied by commentary on the cartoonist's life and art.",2003.0,4.38,368.0,583.0,peanuts offer reproductions five hundred comic strip piece sketchbooks early prototype draw peanuts selections schulzs first cartoon feature accompany commentary cartoonists life art,0.19999999999999998,0.37777777777777777,182
9780375714764,0375714766,"Good-bye, Chunky Rice",,Craig Thompson,Comics & Graphic Novels,http://books.google.com/books/content?id=zD2FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Chunky Rice, a small green turtle, embarks on an ocean voyage, where he meets a shady skipper and conjoined twins, Ruth and Livonia, but he also leaves behind his mouse deer girlfriend Dandel, who sends him letters in a bottle. Reprint. 20,000 first printing.",2006.0,3.8,125.0,7035.0,good bye chunky rice chunky rice small green turtle embark ocean voyage meet shady skipper conjoin twin ruth livonia also leave behind mouse deer girlfriend dandel send letter bottle reprint first print,-0.025000000000000012,0.4930555555555556,202
9780375724428,0375724427,The Stories of John Cheever,,John Cheever,United States,http://books.google.com/books/content?id=W959yAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A collection of sixty-one of Cheever's short stories, including four that have never been published in book form.",1978.0,4.27,693.0,12040.0,stories john cheever collection sixty one cheevers short stories include four never publish form,0.0,0.3,96
9780375724954,0375724958,Stranger in the Forest,On Foot Across Borneo,Eric Hansen,Travel,http://books.google.com/books/content?id=yu5LPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author of Motoring with Mohammed recounts his seven-month, three-thousand-mile walk across Borneo, and compares life in the jungle with Western civilization. Reprint. 12,500 first printing.",2000.0,4.1,288.0,1521.0,stranger forest author motor mohammed recount seven month three thousand mile walk across borneo compare life jungle western civilization reprint first print,0.125,0.16666666666666666,157
9780375725180,0375725180,Staff Training in Mental Handicap,,James Hogg;Peter J. Mittler,Intellectual disability facilities,,,1987.0,4.0,288.0,1238.0,staff train mental handicap,-0.1,0.2,27
